33	93	124	-1
15	17	13	-1
88	49	35	+1
26	46	62	-1
65	32	25	+1
32	93	119	-1
22	32	45	-1
20	48	73	-1
11	14	12	-1
25	55	85	-1
39	16	14	+1
27	66	95	-1
15	15	12	-1
38	109	134	-1
14	15	13	-1
33	75	96	-1
38	113	139	-1
49	22	19	+1
76	85	76	-1
94	51	40	+1
73	36	28	+1
117	129	109	-1
16	17	16	-1
17	20	17	-1
17	17	16	-1
24	26	24	-1
39	113	141	-1
42	19	15	+1
108	60	46	+1
21	38	64	-1
21	31	33	-1
107	53	40	+1
74	36	27	+1
19	20	17	-1
16	17	15	-1
16	20	17	-1
75	34	28	+1
24	60	91	-1
22	38	59	-1
113	125	106	-1
56	145	157	-1
23	44	70	-1
30	61	79	-1
17	20	18	-1
24	47	73	-1
15	18	15	-1
0	0	0	-1
23	51	78	-1
28	17	14	+1
84	40	32	+1
17	18	17	-1
14	16	15	-1
215	175	118	+1
60	76	62	-1
119	130	111	-1
32	41	41	-1
108	49	36	+1
30	82	103	-1
17	18	17	-1
34	28	21	-1
76	31	25	+1
26	51	75	-1
16	17	14	-1
217	234	138	-1
149	116	95	+1
98	47	36	+1
19	24	33	-1
15	17	15	-1
69	30	26	+1
32	94	123	-1
24	67	99	-1
14	17	15	-1
13	15	13	-1
24	46	68	-1
13	14	12	-1
15	18	13	-1
55	26	19	+1
117	67	52	+1
78	34	30	+1
13	15	14	-1
17	19	15	-1
85	40	32	+1
28	71	94	-1
29	53	72	-1
38	18	15	+1
24	45	73	-1
23	38	62	-1
17	19	17	-1
93	67	54	+1
25	44	42	-1
24	46	65	-1
28	47	61	-1
62	98	80	-1
110	53	41	+1
93	44	33	+1
43	123	146	-1
25	55	53	-1
96	43	34	+1
17	17	15	-1
27	45	65	-1
28	70	97	-1
21	23	20	-1
15	18	16	-1
25	52	77	-1
28	77	106	-1
17	18	17	-1
51	22	20	+1
13	16	15	-1
15	16	14	-1
26	56	84	-1
221	181	122	+1
18	19	18	-1
18	20	17	-1
23	39	64	-1
92	56	38	+1
17	19	16	-1
25	42	69	-1
31	38	52	-1
24	38	41	-1
24	47	74	-1
13	17	15	-1
53	25	20	+1
14	18	15	-1
207	162	104	+1
13	18	18	-1
24	36	52	-1
106	69	59	+1
70	38	31	+1
94	44	36	+1
26	66	98	-1
224	201	134	+1
15	18	15	-1
15	16	15	-1
122	136	119	-1
30	20	14	+1
217	233	136	-1
106	54	42	+1
18	19	15	-1
26	69	87	-1
47	25	18	+1
13	15	12	-1
24	42	69	-1
19	22	19	-1
13	16	11	-1
110	60	45	+1
15	17	15	-1
0	0	0	-1
136	90	69	+1
15	15	13	-1
119	130	111	-1
152	135	106	+1
16	19	17	-1
36	101	126	-1
45	22	19	+1
119	131	110	-1
25	45	63	-1
16	17	14	-1
85	111	112	-1
14	16	15	-1
16	19	18	-1
207	181	123	+1
50	56	53	-1
33	38	37	-1
13	15	14	-1
106	54	42	+1
51	18	13	+1
29	71	103	-1
18	18	13	-1
50	19	17	+1
24	48	76	-1
18	19	16	-1
217	235	135	-1
32	91	122	-1
17	18	16	-1
119	130	109	-1
15	17	15	-1
42	123	146	-1
18	18	16	-1
107	53	44	+1
29	79	110	-1
17	17	14	-1
40	112	98	-1
26	49	74	-1
40	112	137	-1
18	21	17	-1
24	51	76	-1
24	50	75	-1
21	31	42	-1
16	17	15	-1
34	94	125	-1
34	19	17	+1
18	19	14	-1
98	116	91	-1
17	20	16	-1
15	16	15	-1
24	56	83	-1
118	79	52	+1
105	49	38	+1
25	61	92	-1
86	52	43	+1
34	90	114	-1
96	45	33	+1
28	60	90	-1
43	20	15	+1
17	18	15	-1
73	92	61	-1
15	18	15	-1
99	53	40	+1
24	20	16	-1
28	78	109	-1
26	52	74	-1
222	238	135	-1
114	126	106	-1
27	67	100	-1
106	117	103	-1
13	17	16	-1
23	43	67	-1
13	15	13	-1
14	16	14	-1
25	28	23	-1
28	56	83	-1
221	238	139	-1
48	25	19	+1
32	72	99	-1
241	241	239	-1
18	23	20	-1
93	39	31	+1
29	82	115	-1
34	93	120	-1
14	17	13	-1
27	60	90	-1
18	21	17	-1
16	19	17	-1
24	54	83	-1
181	152	113	+1
145	117	79	+1
55	22	16	+1
36	104	133	-1
14	15	13	-1
43	48	42	-1
18	20	20	-1
75	37	29	+1
18	18	16	-1
27	76	95	-1
27	72	105	-1
33	92	125	-1
96	127	121	-1
60	31	25	+1
47	19	14	+1
25	33	50	-1
24	49	74	-1
118	59	45	+1
28	74	104	-1
25	55	85	-1
31	85	116	-1
63	34	28	+1
14	15	14	-1
137	108	90	+1
0	0	0	-1
118	127	108	-1
14	15	13	-1
15	15	12	-1
28	72	100	-1
27	71	103	-1
18	18	16	-1
13	14	13	-1
26	46	68	-1
14	16	13	-1
28	50	71	-1
15	17	17	-1
17	17	19	-1
0	0	0	-1
18	20	17	-1
28	49	70	-1
216	237	207	-1
90	41	31	+1
98	49	39	+1
15	16	16	-1
83	40	35	+1
25	55	83	-1
17	19	18	-1
17	20	17	-1
123	134	115	-1
115	67	58	+1
27	69	103	-1
18	19	16	-1
105	53	43	+1
25	51	80	-1
40	45	34	-1
15	18	15	-1
30	87	120	-1
71	35	28	+1
17	20	20	-1
18	19	16	-1
101	66	46	+1
72	46	33	+1
97	64	62	+1
57	30	25	+1
26	46	65	-1
51	30	19	+1
25	45	73	-1
63	24	19	+1
31	30	26	-1
23	24	21	-1
141	111	70	+1
18	18	18	-1
86	44	34	+1
45	128	148	-1
32	82	102	-1
25	48	77	-1
220	237	139	-1
15	18	16	-1
24	55	87	-1
18	20	18	-1
104	53	40	+1
29	76	109	-1
28	74	106	-1
0	0	0	-1
28	52	83	-1
36	107	136	-1
118	66	50	+1
118	65	49	+1
17	18	20	-1
27	60	89	-1
58	48	56	-1
28	78	111	-1
13	16	14	-1
57	38	24	+1
29	69	88	-1
22	49	76	-1
19	20	16	-1
15	18	18	-1
133	95	68	+1
44	22	18	+1
17	18	16	-1
15	18	16	-1
31	77	107	-1
47	18	15	+1
17	18	15	-1
0	0	0	-1
15	18	15	-1
26	49	65	-1
0	0	0	-1
26	69	100	-1
34	19	13	+1
27	27	23	-1
17	19	16	-1
18	18	16	-1
41	118	141	-1
31	87	120	-1
27	60	89	-1
28	73	103	-1
17	16	17	-1
27	53	76	-1
13	15	14	-1
14	16	12	-1
17	20	17	-1
15	16	15	-1
43	23	17	+1
218	177	120	+1
19	19	17	-1
17	19	16	-1
25	47	67	-1
29	79	103	-1
15	16	15	-1
76	39	31	+1
214	235	207	-1
18	17	13	-1
38	19	14	+1
15	18	16	-1
79	37	30	+1
71	39	31	+1
27	33	34	-1
66	35	27	+1
24	22	23	-1
27	56	86	-1
0	0	0	-1
22	24	23	-1
29	76	112	-1
101	51	38	+1
17	17	16	-1
39	85	89	-1
48	67	40	-1
26	65	96	-1
18	19	16	-1
28	69	103	-1
25	72	104	-1
14	16	13	-1
31	88	121	-1
25	41	53	-1
15	18	17	-1
17	20	18	-1
16	18	15	-1
20	21	18	-1
93	43	36	+1
123	61	48	+1
31	83	110	-1
14	17	15	-1
15	18	17	-1
142	116	91	+1
28	81	112	-1
35	31	39	-1
26	29	25	-1
100	50	40	+1
15	16	13	-1
14	17	13	-1
14	17	15	-1
48	20	15	+1
31	82	117	-1
22	25	23	-1
0	0	0	-1
15	17	16	-1
16	18	16	-1
16	14	13	-1
26	54	83	-1
213	191	130	+1
30	78	114	-1
25	67	99	-1
23	40	58	-1
84	43	33	+1
221	197	135	+1
14	16	14	-1
26	59	89	-1
118	128	109	-1
14	15	13	-1
18	18	18	-1
23	23	21	-1
22	32	49	-1
31	79	104	-1
17	19	15	-1
27	51	74	-1
130	120	84	+1
29	74	97	-1
33	51	43	-1
223	239	138	-1
29	68	97	-1
14	14	12	-1
23	46	73	-1
37	16	13	+1
17	18	15	-1
22	42	67	-1
22	44	69	-1
30	36	33	-1
24	47	66	-1
118	130	109	-1
15	15	13	-1
22	42	65	-1
115	127	108	-1
35	96	120	-1
19	19	20	-1
15	16	14	-1
