33	93	124	33	93	124
15	17	13	15	17	13
26	46	62	26	46	62
32	93	119	32	93	119
22	32	45	22	32	45
20	48	73	20	48	73
11	14	12	11	14	12
25	55	85	25	55	85
27	66	95	27	66	95
15	15	12	15	15	12
38	109	134	38	109	134
14	15	13	14	15	13
33	75	96	33	75	96
38	113	139	38	113	139
76	85	76	76	85	76
117	129	109	117	129	109
16	17	16	16	17	16
17	20	17	17	20	17
17	17	16	17	17	16
24	26	24	24	26	24
39	113	141	39	113	141
21	38	64	21	38	64
21	31	33	21	31	33
19	20	17	19	20	17
16	17	15	16	17	15
16	20	17	16	20	17
24	60	91	24	60	91
22	38	59	22	38	59
113	125	106	113	125	106
56	145	157	56	145	157
23	44	70	23	44	70
30	61	79	30	61	79
17	20	18	17	20	18
24	47	73	24	47	73
15	18	15	15	18	15
0	0	0	0	0	0
23	51	78	23	51	78
17	18	17	17	18	17
14	16	15	14	16	15
60	76	62	60	76	62
119	130	111	119	130	111
32	41	41	32	41	41
30	82	103	30	82	103
17	18	17	17	18	17
34	28	21	34	28	21
26	51	75	26	51	75
16	17	14	16	17	14
217	234	138	217	234	138
19	24	33	19	24	33
15	17	15	15	17	15
32	94	123	32	94	123
24	67	99	24	67	99
14	17	15	14	17	15
13	15	13	13	15	13
24	46	68	24	46	68
13	14	12	13	14	12
15	18	13	15	18	13
13	15	14	13	15	14
17	19	15	17	19	15
28	71	94	28	71	94
29	53	72	29	53	72
24	45	73	24	45	73
23	38	62	23	38	62
17	19	17	17	19	17
25	44	42	25	44	42
24	46	65	24	46	65
28	47	61	28	47	61
62	98	80	62	98	80
43	123	146	43	123	146
25	55	53	25	55	53
17	17	15	17	17	15
27	45	65	27	45	65
28	70	97	28	70	97
21	23	20	21	23	20
15	18	16	15	18	16
25	52	77	25	52	77
28	77	106	28	77	106
17	18	17	17	18	17
13	16	15	13	16	15
15	16	14	15	16	14
26	56	84	26	56	84
18	19	18	18	19	18
18	20	17	18	20	17
23	39	64	23	39	64
17	19	16	17	19	16
25	42	69	25	42	69
31	38	52	31	38	52
24	38	41	24	38	41
24	47	74	24	47	74
13	17	15	13	17	15
14	18	15	14	18	15
13	18	18	13	18	18
24	36	52	24	36	52
26	66	98	26	66	98
15	18	15	15	18	15
15	16	15	15	16	15
122	136	119	122	136	119
217	233	136	217	233	136
18	19	15	18	19	15
26	69	87	26	69	87
13	15	12	13	15	12
24	42	69	24	42	69
19	22	19	19	22	19
13	16	11	13	16	11
15	17	15	15	17	15
0	0	0	0	0	0
15	15	13	15	15	13
119	130	111	119	130	111
16	19	17	16	19	17
36	101	126	36	101	126
119	131	110	119	131	110
25	45	63	25	45	63
16	17	14	16	17	14
85	111	112	85	111	112
14	16	15	14	16	15
16	19	18	16	19	18
50	56	53	50	56	53
33	38	37	33	38	37
13	15	14	13	15	14
29	71	103	29	71	103
18	18	13	18	18	13
24	48	76	24	48	76
18	19	16	18	19	16
217	235	135	217	235	135
32	91	122	32	91	122
17	18	16	17	18	16
119	130	109	119	130	109
15	17	15	15	17	15
42	123	146	42	123	146
18	18	16	18	18	16
29	79	110	29	79	110
17	17	14	17	17	14
40	112	98	40	112	98
26	49	74	26	49	74
40	112	137	40	112	137
18	21	17	18	21	17
24	51	76	24	51	76
24	50	75	24	50	75
21	31	42	21	31	42
16	17	15	16	17	15
34	94	125	34	94	125
18	19	14	18	19	14
98	116	91	98	116	91
17	20	16	17	20	16
15	16	15	15	16	15
24	56	83	24	56	83
25	61	92	25	61	92
34	90	114	34	90	114
28	60	90	28	60	90
17	18	15	17	18	15
73	92	61	73	92	61
15	18	15	15	18	15
24	20	16	24	20	16
28	78	109	28	78	109
26	52	74	26	52	74
222	238	135	222	238	135
114	126	106	114	126	106
27	67	100	27	67	100
106	117	103	106	117	103
13	17	16	13	17	16
23	43	67	23	43	67
13	15	13	13	15	13
14	16	14	14	16	14
25	28	23	25	28	23
28	56	83	28	56	83
221	238	139	221	238	139
32	72	99	32	72	99
241	241	239	241	241	239
18	23	20	18	23	20
29	82	115	29	82	115
34	93	120	34	93	120
14	17	13	14	17	13
27	60	90	27	60	90
18	21	17	18	21	17
16	19	17	16	19	17
24	54	83	24	54	83
