88	49	35	88	49	35
65	32	25	65	32	25
39	16	14	39	16	14
49	22	19	49	22	19
94	51	40	94	51	40
73	36	28	73	36	28
42	19	15	42	19	15
108	60	46	108	60	46
107	53	40	107	53	40
74	36	27	74	36	27
75	34	28	75	34	28
28	17	14	28	17	14
84	40	32	84	40	32
215	175	118	215	175	118
108	49	36	108	49	36
76	31	25	76	31	25
149	116	95	149	116	95
98	47	36	98	47	36
69	30	26	69	30	26
55	26	19	55	26	19
117	67	52	117	67	52
78	34	30	78	34	30
85	40	32	85	40	32
38	18	15	38	18	15
93	67	54	93	67	54
110	53	41	110	53	41
93	44	33	93	44	33
96	43	34	96	43	34
51	22	20	51	22	20
221	181	122	221	181	122
92	56	38	92	56	38
53	25	20	53	25	20
207	162	104	207	162	104
106	69	59	106	69	59
70	38	31	70	38	31
94	44	36	94	44	36
224	201	134	224	201	134
30	20	14	30	20	14
106	54	42	106	54	42
47	25	18	47	25	18
110	60	45	110	60	45
136	90	69	136	90	69
152	135	106	152	135	106
45	22	19	45	22	19
207	181	123	207	181	123
106	54	42	106	54	42
51	18	13	51	18	13
50	19	17	50	19	17
107	53	44	107	53	44
34	19	17	34	19	17
118	79	52	118	79	52
105	49	38	105	49	38
86	52	43	86	52	43
96	45	33	96	45	33
43	20	15	43	20	15
99	53	40	99	53	40
48	25	19	48	25	19
93	39	31	93	39	31
181	152	113	181	152	113
145	117	79	145	117	79
55	22	16	55	22	16
75	37	29	75	37	29
60	31	25	60	31	25
47	19	14	47	19	14
118	59	45	118	59	45
63	34	28	63	34	28
137	108	90	137	108	90
90	41	31	90	41	31
98	49	39	98	49	39
83	40	35	83	40	35
115	67	58	115	67	58
105	53	43	105	53	43
71	35	28	71	35	28
101	66	46	101	66	46
72	46	33	72	46	33
97	64	62	97	64	62
57	30	25	57	30	25
51	30	19	51	30	19
63	24	19	63	24	19
141	111	70	141	111	70
86	44	34	86	44	34
104	53	40	104	53	40
118	66	50	118	66	50
118	65	49	118	65	49
57	38	24	57	38	24
133	95	68	133	95	68
44	22	18	44	22	18
47	18	15	47	18	15
34	19	13	34	19	13
43	23	17	43	23	17
218	177	120	218	177	120
76	39	31	76	39	31
38	19	14	38	19	14
79	37	30	79	37	30
71	39	31	71	39	31
66	35	27	66	35	27
101	51	38	101	51	38
93	43	36	93	43	36
123	61	48	123	61	48
142	116	91	142	116	91
100	50	40	100	50	40
48	20	15	48	20	15
213	191	130	213	191	130
84	43	33	84	43	33
221	197	135	221	197	135
130	120	84	130	120	84
37	16	13	37	16	13
95	46	33	95	46	33
128	81	73	128	81	73
65	35	28	65	35	28
70	36	27	70	36	27
59	24	20	59	24	20
79	32	26	79	32	26
53	26	19	53	26	19
86	63	63	86	63	63
40	18	13	40	18	13
86	39	30	86	39	30
157	124	93	157	124	93
92	43	34	92	43	34
66	36	28	66	36	28
46	21	16	46	21	16
102	51	36	102	51	36
119	64	52	119	64	52
38	18	13	38	18	13
58	22	19	58	22	19
91	42	36	91	42	36
88	39	34	88	39	34
84	32	25	84	32	25
83	45	34	83	45	34
56	34	27	56	34	27
70	43	36	70	43	36
82	65	48	82	65	48
104	51	40	104	51	40
120	72	51	120	72	51
71	33	25	71	33	25
113	61	48	113	61	48
127	88	69	127	88	69
221	189	130	221	189	130
80	37	26	80	37	26
92	69	45	92	69	45
51	21	19	51	21	19
106	53	41	106	53	41
82	41	34	82	41	34
55	27	20	55	27	20
161	146	92	161	146	92
93	40	32	93	40	32
50	20	18	50	20	18
57	25	18	57	25	18
65	36	30	65	36	30
82	33	28	82	33	28
129	98	80	129	98	80
45	23	19	45	23	19
136	93	76	136	93	76
133	82	66	133	82	66
115	68	45	115	68	45
73	45	34	73	45	34
122	81	59	122	81	59
111	63	45	111	63	45
86	43	34	86	43	34
137	105	81	137	105	81
78	45	34	78	45	34
54	29	23	54	29	23
119	76	64	119	76	64
116	85	75	116	85	75
62	32	24	62	32	24
31	17	13	31	17	13
39	18	14	39	18	14
105	50	38	105	50	38
40	16	15	40	16	15
63	32	27	63	32	27
100	48	39	100	48	39
98	55	43	98	55	43
80	52	41	80	52	41
193	167	107	193	167	107
99	45	35	99	45	35
78	50	43	78	50	43
107	73	61	107	73	61
144	85	65	144	85	65
223	189	126	223	189	126
77	33	28	77	33	28
40	21	17	40	21	17
76	39	28	76	39	28
49	28	20	49	28	20
36	18	14	36	18	14
57	31	24	57	31	24
143	95	80	143	95	80
198	157	112	198	157	112
78	36	25	78	36	25
84	42	29	84	42	29
43	20	17	43	20	17
96	50	40	96	50	40
130	101	66	130	101	66
115	59	48	115	59	48
133	104	87	133	104	87
121	65	49	121	65	49
99	45	36	99	45	36
47	19	16	47	19	16
120	60	46	120	60	46
103	44	36	103	44	36
184	140	100	184	140	100
40	19	15	40	19	15
77	48	39	77	48	39
218	190	124	218	190	124
48	20	15	48	20	15
83	40	33	83	40	33
71	35	31	71	35	31
65	38	28	65	38	28
170	131	87	170	131	87
112	54	45	112	54	45
96	61	48	96	61	48
211	185	127	211	185	127
123	75	50	123	75	50
148	116	92	148	116	92
25	14	11	25	14	11
176	151	104	176	151	104
170	125	82	170	125	82
215	184	132	215	184	132
85	44	35	85	44	35
56	24	19	56	24	19
178	160	115	178	160	115
101	53	41	101	53	41
52	20	16	52	20	16
75	36	29	75	36	29
187	152	107	187	152	107
54	25	20	54	25	20
68	32	29	68	32	29
91	63	60	91	63	60
83	36	31	83	36	31
116	59	50	116	59	50
85	42	36	85	42	36
46	20	16	46	20	16
93	43	36	93	43	36
38	16	14	38	16	14
114	59	46	114	59	46
107	54	46	107	54	46
189	156	109	189	156	109
51	19	15	51	19	15
39	22	16	39	22	16
105	54	51	105	54	51
53	28	21	53	28	21
89	42	30	89	42	30
72	45	34	72	45	34
87	45	36	87	45	36
114	67	52	114	67	52
68	33	26	68	33	26
108	53	42	108	53	42
109	58	44	109	58	44
112	56	47	112	56	47
150	111	83	150	111	83
48	27	23	48	27	23
80	35	29	80	35	29
55	23	19	55	23	19
85	36	30	85	36	30
142	105	83	142	105	83
124	67	55	124	67	55
113	63	49	113	63	49
66	27	19	66	27	19
45	22	15	45	22	15
30	27	20	30	27	20
40	16	12	40	16	12
141	105	78	141	105	78
47	22	18	47	22	18
106	52	39	106	52	39
47	21	16	47	21	16
93	53	41	93	53	41
54	29	25	54	29	25
101	86	61	101	86	61
90	62	43	90	62	43
128	93	77	128	93	77
92	37	32	92	37	32
47	18	17	47	18	17
136	101	88	136	101	88
94	65	48	94	65	48
38	21	15	38	21	15
88	50	38	88	50	38
214	179	123	214	179	123
89	46	30	89	46	30
104	47	34	104	47	34
87	43	34	87	43	34
56	21	16	56	21	16
54	24	18	54	24	18
116	86	70	116	86	70
93	47	39	93	47	39
148	116	81	148	116	81
50	23	17	50	23	17
157	123	86	157	123	86
74	43	37	74	43	37
44	17	15	44	17	15
212	183	125	212	183	125
56	21	17	56	21	17
98	50	37	98	50	37
57	30	24	57	30	24
39	16	14	39	16	14
84	51	40	84	51	40
38	17	14	38	17	14
40	20	16	40	20	16
68	42	30	68	42	30
112	56	44	112	56	44
175	140	92	175	140	92
187	181	135	187	181	135
104	53	41	104	53	41
215	179	123	215	179	123
71	33	25	71	33	25
110	60	46	110	60	46
108	56	46	108	56	46
58	32	26	58	32	26
101	49	37	101	49	37
126	89	69	126	89	69
112	51	40	112	51	40
76	38	29	76	38	29
127	98	80	127	98	80
101	44	37	101	44	37
159	148	112	159	148	112
111	61	44	111	61	44
113	53	41	113	53	41
53	28	21	53	28	21
126	83	59	126	83	59
109	54	41	109	54	41
165	137	100	165	137	100
50	23	17	50	23	17
25	18	14	25	18	14
82	38	30	82	38	30
107	55	43	107	55	43
62	24	17	62	24	17
111	59	47	111	59	47
108	65	46	108	65	46
159	144	97	159	144	97
101	51	35	101	51	35
192	156	106	192	156	106
212	185	128	212	185	128
45	22	16	45	22	16
76	34	29	76	34	29
113	61	46	113	61	46
147	109	85	147	109	85
89	51	39	89	51	39
184	170	128	184	170	128
126	68	48	126	68	48
47	22	18	47	22	18
102	52	37	102	52	37
87	49	39	87	49	39
115	57	47	115	57	47
91	60	50	91	60	50
66	40	28	66	40	28
56	27	24	56	27	24
51	23	20	51	23	20
63	35	30	63	35	30
153	144	106	153	144	106
55	29	20	55	29	20
105	51	39	105	51	39
88	47	36	88	47	36
137	99	76	137	99	76
107	55	43	107	55	43
210	186	126	210	186	126
221	184	131	221	184	131
109	52	41	109	52	41
82	37	31	82	37	31
80	41	38	80	41	38
139	111	78	139	111	78
25	17	15	25	17	15
109	52	41	109	52	41
87	40	32	87	40	32
200	172	125	200	172	125
65	36	28	65	36	28
48	19	14	48	19	14
146	112	83	146	112	83
156	115	80	156	115	80
33	17	13	33	17	13
50	19	14	50	19	14
68	34	28	68	34	28
71	40	32	71	40	32
79	32	28	79	32	28
89	40	38	89	40	38
44	16	15	44	16	15
144	110	76	144	110	76
44	20	18	44	20	18
144	112	82	144	112	82
129	103	81	129	103	81
165	154	114	165	154	114
112	53	42	112	53	42
44	21	17	44	21	17
46	17	13	46	17	13
206	171	114	206	171	114
145	107	88	145	107	88
104	58	44	104	58	44
215	186	122	215	186	122
37	17	16	37	17	16
161	122	93	161	122	93
54	31	27	54	31	27
49	24	16	49	24	16
153	122	89	153	122	89
34	19	15	34	19	15
66	33	27	66	33	27
144	104	79	144	104	79
145	109	92	145	109	92
103	46	35	103	46	35
44	22	16	44	22	16
74	36	27	74	36	27
66	34	27	66	34	27
70	45	31	70	45	31
155	110	74	155	110	74
109	52	43	109	52	43
106	55	40	106	55	40
100	71	58	100	71	58
47	20	15	47	20	15
94	50	39	94	50	39
101	52	37	101	52	37
79	43	34	79	43	34
82	39	32	82	39	32
83	46	34	83	46	34
132	120	91	132	120	91
90	43	34	90	43	34
43	17	13	43	17	13
208	171	117	208	171	117
85	39	32	85	39	32
151	122	86	151	122	86
115	68	50	115	68	50
34	19	14	34	19	14
49	26	18	49	26	18
100	53	40	100	53	40
84	41	33	84	41	33
74	50	37	74	50	37
50	21	17	50	21	17
177	144	109	177	144	109
103	74	59	103	74	59
166	146	107	166	146	107
149	123	91	149	123	91
92	40	33	92	40	33
48	18	13	48	18	13
74	36	31	74	36	31
43	20	16	43	20	16
50	25	18	50	25	18
154	95	73	154	95	73
79	42	33	79	42	33
139	80	57	139	80	57
148	117	71	148	117	71
42	20	19	42	20	19
69	46	35	69	46	35
211	183	124	211	183	124
38	18	15	38	18	15
81	45	35	81	45	35
122	91	77	122	91	77
103	46	35	103	46	35
185	170	125	185	170	125
81	39	33	81	39	33
91	40	36	91	40	36
82	39	31	82	39	31
131	101	78	131	101	78
83	40	29	83	40	29
179	157	122	179	157	122
102	44	39	102	44	39
72	38	30	72	38	30
60	30	20	60	30	20
95	42	34	95	42	34
88	46	35	88	46	35
123	77	59	123	77	59
78	42	32	78	42	32
74	44	27	74	44	27
123	75	60	123	75	60
138	101	63	138	101	63
99	50	37	99	50	37
48	19	14	48	19	14
82	42	36	82	42	36
83	53	42	83	53	42
119	64	51	119	64	51
44	22	17	44	22	17
90	37	27	90	37	27
158	144	105	158	144	105
110	55	45	110	55	45
98	45	39	98	45	39
